id,company_id,year,market_cap,enterprise_value,pe_ratio,pb_ratio,ev_ebitda,dividend_yield,valuation_flag
2,ABB,2020,923674.33,1120679.72,67.54,13.03,24.93,3.9,Caution
4,ABB,2022,1185994.82,1158637.42,18.68,4.75,6.12,3.35,Discount
6,ABB,2024,1536236.24,1619349.16,75.58,4.48,12.63,0.96,Caution
7,ADANIENSOL,2019,171905.69,222090.81,76.72,12.85,34.64,2.97,Caution
10,ADANIENSOL,2022,306303.52,354481.15,71.21,6.44,19.65,2.37,Caution
11,ADANIENSOL,2023,263283.51,289260.77,28.96,13.96,8.07,2.07,Discount
15,ADANIENT,2021,205258.66,189642.53,72.59,8.25,9.71,0.24,Caution
17,ADANIENT,2023,196563.95,213448.3,65.7,5.32,10.14,3.93,Caution
19,ADANIGREEN,2019,485373.12,541878.15,29.07,10.49,5.01,0.27,Discount
20,ADANIGREEN,2020,517543.72,664150.23,72.14,14.91,19.59,0.21,Caution
21,ADANIGREEN,2021,519085.0,607489.51,17.73,4.85,6.97,2.14,Discount
23,ADANIGREEN,2023,449015.01,546204.41,9.89,6.92,25.56,4.31,Discount
27,ADANIPORTS,2021,611152.14,782103.44,77.47,0.9,30.06,1.0,Caution
28,ADANIPORTS,2022,733808.16,915420.63,15.26,3.96,5.84,0.2,Discount
29,ADANIPORTS,2023,634603.85,774389.91,29.48,7.65,32.57,2.23,Discount
31,ADANIPOWER,2019,1188256.85,1362538.77,27.22,4.37,35.21,0.06,Discount
32,ADANIPOWER,2020,1117866.08,1278915.22,66.83,5.7,27.87,2.51,Caution
33,ADANIPOWER,2021,986259.76,1132916.67,66.6,14.89,6.04,2.97,Caution
38,AMBUJACEM,2020,1025434.68,969394.29,79.32,9.29,17.71,1.12,Caution
41,AMBUJACEM,2023,1410892.33,1458659.98,73.29,1.59,6.74,0.57,Caution
44,APOLLOHOSP,2020,1275343.54,1525399.05,28.39,8.78,7.08,4.32,Discount
45,APOLLOHOSP,2021,1154138.06,1069918.55,11.18,6.7,8.4,3.35,Discount
47,APOLLOHOSP,2023,1446203.76,1674544.0,17.38,12.98,28.27,3.2,Discount
49,ASIANPAINT,2019,1065817.17,1060968.11,30.34,5.08,33.21,0.45,Discount
50,ASIANPAINT,2020,1148763.92,1230363.26,13.27,6.46,22.97,0.29,Discount
51,ASIANPAINT,2021,1269304.94,1629400.62,78.48,8.21,23.03,1.28,Caution
54,ASIANPAINT,2024,2126725.18,2475080.63,73.37,3.9,23.94,2.42,Caution
55,ATGL,2019,1148243.4,1228379.56,21.14,0.81,10.15,4.39,Discount
56,ATGL,2020,1099356.08,1400593.18,22.78,14.0,27.91,0.51,Discount
58,ATGL,2022,1548060.05,1597088.78,74.55,14.11,6.42,0.07,Caution
59,ATGL,2023,1644865.15,1868991.35,28.01,4.26,28.74,2.71,Discount
68,BAJAJ-AUTO,2020,351288.98,435411.55,79.31,9.65,32.77,0.07,Caution
71,BAJAJ-AUTO,2023,552671.87,600604.78,78.58,8.54,37.84,3.66,Caution
72,BAJAJ-AUTO,2024,653817.3,679803.97,29.91,9.83,20.14,3.59,Discount
77,BAJAJFINSV,2023,1845750.3,2241384.41,76.89,13.57,9.02,1.66,Caution
78,BAJAJFINSV,2024,1905112.17,1807796.2,15.07,6.08,39.72,2.56,Discount
79,BAJAJHLDNG,2019,1014477.55,1181797.59,76.88,9.04,7.28,2.22,Caution
82,BAJAJHLDNG,2022,1394489.39,1728870.12,79.41,5.56,9.53,0.65,Caution
83,BAJAJHLDNG,2023,1714344.05,1642287.8,26.75,3.46,17.45,0.33,Discount
89,BAJFINANCE,2023,1896088.83,1920855.51,19.1,4.67,26.51,0.83,Discount
90,BAJFINANCE,2024,2473271.58,2632574.41,69.2,4.11,15.96,0.27,Caution
92,BANKBARODA,2020,471014.36,436331.44,71.63,11.42,18.25,2.88,Caution
93,BANKBARODA,2021,426745.64,503995.99,67.24,12.42,14.95,1.19,Caution
94,BANKBARODA,2022,473985.89,610071.44,74.28,5.71,32.29,4.15,Caution
95,BANKBARODA,2023,464725.74,572597.07,27.29,5.48,11.96,2.28,Discount
96,BANKBARODA,2024,590971.02,656699.32,16.89,4.15,24.7,2.62,Discount
97,BEL,2019,770752.45,926042.39,73.48,7.9,30.16,4.11,Caution
100,BEL,2022,1143459.9,1249718.69,72.89,7.89,28.11,4.49,Caution
101,BEL,2023,1055965.69,1261553.4,18.0,12.66,25.88,4.22,Discount
102,BEL,2024,1354781.06,1259877.04,17.89,9.22,23.14,0.76,Discount
103,BHARTIARTL,2019,224578.88,206515.69,70.91,12.2,32.49,0.07,Caution
104,BHARTIARTL,2020,196241.62,219777.99,79.6,5.46,17.05,0.6,Caution
105,BHARTIARTL,2021,232971.76,269937.54,15.3,7.28,28.35,2.22,Discount
107,BHARTIARTL,2023,288871.93,280003.55,66.89,3.6,37.51,0.1,Caution
112,BHEL,2022,452493.05,503418.0,23.85,9.42,38.85,0.56,Discount
114,BHEL,2024,540053.85,682460.17,29.8,11.43,21.59,4.04,Discount
118,BOSCHLTD,2022,1812529.57,2125646.68,21.27,6.04,18.2,1.07,Discount
119,BOSCHLTD,2023,2334820.89,2735332.08,28.16,4.01,5.63,1.56,Discount
121,BPCL,2019,417435.04,439524.17,25.37,3.65,15.58,3.89,Discount
123,BPCL,2021,522915.18,574282.97,12.13,1.78,14.21,1.65,Discount
124,BPCL,2022,547313.57,518390.47,24.26,4.29,7.37,1.47,Discount
126,BPCL,2024,468662.13,606487.07,68.15,0.72,26.59,1.15,Caution
129,BRITANNIA,2021,253493.14,328072.69,18.2,4.8,10.98,2.14,Discount
130,BRITANNIA,2022,316483.82,327961.01,73.25,8.4,21.29,3.54,Caution
131,BRITANNIA,2023,285063.86,344785.02,25.49,4.57,25.98,4.06,Discount
133,CANBK,2019,274311.19,273886.68,24.47,4.6,11.33,3.0,Discount
136,CANBK,2022,289660.96,292542.15,74.19,6.84,37.94,1.77,Caution
139,CHOLAFIN,2019,1617575.24,1531662.97,18.46,1.7,37.73,2.14,Discount
141,CHOLAFIN,2021,1228519.04,1553189.98,23.52,9.62,7.16,0.37,Discount
144,CHOLAFIN,2024,971931.96,1024979.49,16.79,10.36,13.52,2.83,Discount
146,CIPLA,2020,316481.63,343801.04,26.77,7.27,32.2,0.71,Discount
147,CIPLA,2021,288521.14,290750.43,76.56,11.34,5.68,1.8,Caution
151,COALINDIA,2019,187263.0,190352.73,76.5,6.82,20.03,3.05,Caution
152,COALINDIA,2020,231042.15,251887.58,23.41,11.71,16.21,0.79,Discount
153,COALINDIA,2021,269353.58,252163.83,77.94,9.67,39.51,1.53,Caution
154,COALINDIA,2022,359749.33,344720.77,10.93,0.98,21.27,0.37,Discount
157,DABUR,2019,55182.65,67689.73,11.83,8.9,33.07,2.52,Discount
158,DABUR,2020,48665.96,57298.27,12.36,12.35,6.51,0.62,Discount
159,DABUR,2021,48060.25,55430.1,78.3,2.21,9.99,1.66,Caution
161,DABUR,2023,61939.24,75668.46,74.55,11.51,20.37,2.27,Caution
163,DIVISLAB,2019,1011018.76,1179809.82,74.55,13.82,30.19,0.22,Caution
164,DIVISLAB,2020,1300303.75,1512398.18,30.35,3.22,9.07,0.23,Discount
165,DIVISLAB,2021,1595539.83,1586504.61,9.75,6.26,21.89,0.76,Discount
167,DIVISLAB,2023,1318782.9,1394258.36,15.26,3.01,17.21,1.48,Discount
168,DIVISLAB,2024,1615028.67,1501836.03,69.95,12.34,31.81,1.39,Caution
169,DLF,2019,1162826.35,1104410.24,11.24,14.12,15.78,4.13,Discount
170,DLF,2020,1146903.51,1448569.4,73.08,13.89,22.37,3.9,Caution
172,DLF,2022,1348234.63,1495730.62,16.81,4.75,14.05,3.78,Discount
175,DMART,2019,1847236.39,2290853.98,67.17,4.98,36.17,4.24,Caution
177,DMART,2021,2294356.77,2489455.16,14.9,12.05,11.12,0.52,Discount
178,DMART,2022,2664977.29,2823430.83,12.31,5.66,32.01,2.77,Discount
180,DMART,2024,3053088.97,3624591.94,72.53,11.71,36.84,1.94,Caution
181,DRREDDY,2019,1574961.99,1965583.28,10.84,10.04,34.68,0.78,Discount
182,DRREDDY,2020,1859862.32,2287596.96,28.73,6.38,24.93,2.34,Discount
183,DRREDDY,2021,1617326.41,1519427.76,15.23,4.3,13.61,3.34,Discount
184,DRREDDY,2022,1837884.76,2215736.28,13.03,7.54,16.33,3.82,Discount
185,DRREDDY,2023,2212619.5,2760692.84,11.34,10.95,23.9,3.71,Discount
186,DRREDDY,2024,2441803.28,2725256.67,11.73,10.19,14.56,0.09,Discount
187,EICHERMOT,2019,138608.74,143935.61,70.5,14.42,38.01,3.97,Caution
188,EICHERMOT,2020,179834.03,182640.02,18.91,9.77,22.08,0.44,Discount
189,EICHERMOT,2021,213781.42,240534.88,70.14,9.33,25.09,1.98,Caution
190,EICHERMOT,2022,231181.84,296317.9,17.97,6.97,27.95,1.95,Discount
191,EICHERMOT,2023,229241.72,232667.27,24.82,5.49,35.51,2.27,Discount
192,EICHERMOT,2024,222391.83,234358.89,15.62,13.61,19.29,4.41,Discount
193,GAIL,2019,665248.74,666947.87,13.48,0.96,26.22,1.4,Discount
194,GAIL,2020,712986.95,875162.11,25.86,4.98,34.59,2.22,Discount
196,GAIL,2022,1209368.79,1283114.71,66.94,6.52,20.9,3.73,Caution
198,GAIL,2024,1531867.57,1613856.89,25.84,9.54,33.07,0.31,Discount
199,GODREJCP,2019,807328.65,896565.06,26.5,4.95,21.35,4.17,Discount
201,GODREJCP,2021,1140203.87,1473894.68,19.23,4.8,17.68,1.47,Discount
206,GRASIM,2020,362884.74,445840.81,23.28,10.84,11.26,0.08,Discount
207,GRASIM,2021,337446.27,354587.01,15.68,3.37,31.76,3.46,Discount
210,GRASIM,2024,478951.82,601673.21,79.35,5.68,15.23,0.98,Caution
212,HAL,2020,1369023.45,1687291.54,68.18,9.05,27.14,4.15,Caution
213,HAL,2021,1800174.45,2098463.2,8.56,2.01,35.03,0.38,Discount
215,HAL,2023,2122373.86,2704291.55,11.8,2.43,27.48,3.62,Discount
216,HAL,2024,2643616.86,3140281.78,71.89,3.65,8.76,2.77,Caution
218,HAVELLS,2020,1749780.42,1713551.51,10.08,13.71,36.18,0.98,Discount
219,HAVELLS,2021,2169908.17,1994561.94,28.52,9.54,31.71,0.05,Discount
220,HAVELLS,2022,2198343.31,2166991.03,79.91,10.23,19.2,0.34,Caution
221,HAVELLS,2023,2526633.19,2922507.57,66.78,4.68,39.35,1.98,Caution
225,HCLTECH,2021,260125.17,316454.0,77.74,7.77,10.85,3.07,Caution
226,HCLTECH,2022,319536.64,296747.25,69.21,12.53,21.54,2.52,Caution
227,HCLTECH,2023,385586.15,451405.41,9.19,2.28,10.69,3.4,Discount
230,HDFCBANK,2020,534671.83,497530.99,30.19,9.55,26.58,1.24,Discount
231,HDFCBANK,2021,573615.98,564871.82,11.64,8.0,17.14,2.44,Discount
232,HDFCBANK,2022,759039.45,726665.0,8.14,1.61,21.19,3.18,Discount
236,HDFCLIFE,2020,43616.06,44999.88,67.68,5.98,13.85,4.1,Caution
242,HEROMOTOCO,2020,1157395.82,1232490.63,75.71,11.62,38.88,4.18,Caution
244,HEROMOTOCO,2022,1220486.89,1228166.97,66.93,12.26,22.34,2.61,Caution
245,HEROMOTOCO,2023,1542037.68,1580646.36,11.61,7.5,36.98,3.56,Discount
247,HINDALCO,2019,247258.14,249825.5,24.15,12.33,39.34,2.97,Discount
248,HINDALCO,2020,287414.16,295396.33,9.47,3.28,25.46,0.68,Discount
251,HINDALCO,2023,537689.01,677187.92,71.42,2.69,7.86,1.33,Caution
253,HINDUNILVR,2019,366409.11,343817.47,13.37,1.78,25.05,1.79,Discount
254,HINDUNILVR,2020,365239.67,374855.61,22.92,6.47,12.11,3.14,Discount
255,HINDUNILVR,2021,333086.26,426116.2,14.47,14.18,34.17,3.06,Discount
256,HINDUNILVR,2022,435060.89,415782.26,20.69,4.16,13.57,1.4,Discount
259,ICICIBANK,2019,634101.51,817754.59,75.38,9.81,5.65,3.37,Caution
260,ICICIBANK,2020,645375.01,681072.05,19.43,8.09,31.06,1.23,Discount
261,ICICIBANK,2021,851486.14,832663.82,12.77,9.84,34.73,4.29,Discount
262,ICICIBANK,2022,1050380.96,1029226.29,78.39,13.83,10.71,2.51,Caution
263,ICICIBANK,2023,1184576.28,1275805.13,78.87,1.36,26.95,0.92,Caution
264,ICICIBANK,2024,1319221.86,1598760.1,25.76,6.2,38.28,3.43,Discount
268,ICICIGI,2022,939135.7,920383.85,66.71,8.08,12.94,2.81,Caution
269,ICICIGI,2023,1242023.75,1158606.81,15.87,12.74,8.84,0.18,Discount
271,ICICIPRULI,2019,1606002.47,1499575.64,76.8,0.56,32.16,0.14,Caution
274,ICICIPRULI,2022,1702653.91,2014418.94,71.57,4.53,11.31,3.42,Caution
276,ICICIPRULI,2024,1596987.55,2014403.87,20.83,12.38,22.57,0.35,Discount
